"Date","Daily Sterling overnight index average (SONIA) rate              [a] [b]             IUDSOIA"
"30 Jul 25","4.2171"
"29 Jul 25","4.2171"
"28 Jul 25","4.2171"
"25 Jul 25","4.2174"
"24 Jul 25","4.2174"
"23 Jul 25","4.2172"
"22 Jul 25","4.2172"
"21 Jul 25","4.2168"
"18 Jul 25","4.2174"
"17 Jul 25","4.2175"
"16 Jul 25","4.217"
"15 Jul 25","4.2172"
"14 Jul 25","4.2171"
"11 Jul 25","4.2172"
"10 Jul 25","4.2175"
"09 Jul 25","4.2169"
"08 Jul 25","4.217"
"07 Jul 25","4.217"
"04 Jul 25","4.2173"
"03 Jul 25","4.2173"
"02 Jul 25","4.2171"
"01 Jul 25","4.2176"
"30 Jun 25","4.2171"
"27 Jun 25","4.2172"
"26 Jun 25","4.217"
"25 Jun 25","4.2172"
"24 Jun 25","4.217"
"23 Jun 25","4.2166"
"20 Jun 25","4.2164"
"19 Jun 25","4.2169"
"18 Jun 25","4.2163"
"17 Jun 25","4.216"
"16 Jun 25","4.2148"
"13 Jun 25","4.2127"
"12 Jun 25","4.2126"
"11 Jun 25","4.2129"
"10 Jun 25","4.2126"
"09 Jun 25","4.2128"
"06 Jun 25","4.2118"
"05 Jun 25","4.2119"
"04 Jun 25","4.2111"
"03 Jun 25","4.2112"
"02 Jun 25","4.2112"
"30 May 25","4.2111"
"29 May 25","4.2107"
"28 May 25","4.2104"
"27 May 25","4.2107"
"23 May 25","4.2108"
"22 May 25","4.2114"
"21 May 25","4.2115"
"20 May 25","4.2108"
"19 May 25","4.2109"
"16 May 25","4.2106"
"15 May 25","4.2111"
"14 May 25","4.2108"
"13 May 25","4.2106"
"12 May 25","4.21"
"09 May 25","4.2103"
"08 May 25","4.21"
"07 May 25","4.4601"
"06 May 25","4.459"
"02 May 25","4.4594"
"01 May 25","4.4586"
"30 Apr 25","4.4592"
"29 Apr 25","4.4592"
"28 Apr 25","4.459"
"25 Apr 25","4.4591"
"24 Apr 25","4.4592"
"23 Apr 25","4.459"
"22 Apr 25","4.4593"
"17 Apr 25","4.459"
"16 Apr 25","4.4585"
"15 Apr 25","4.4585"
"14 Apr 25","4.4582"
"11 Apr 25","4.4584"
"10 Apr 25","4.4579"
"09 Apr 25","4.4565"
"08 Apr 25","4.4565"
"07 Apr 25","4.4561"
"04 Apr 25","4.4554"
"03 Apr 25","4.4553"
"02 Apr 25","4.4549"
"01 Apr 25","4.4555"
"31 Mar 25","4.4554"
"28 Mar 25","4.4558"
"27 Mar 25","4.4556"
"26 Mar 25","4.4572"
"25 Mar 25","4.4568"
"24 Mar 25","4.457"
"21 Mar 25","4.4563"
"20 Mar 25","4.4562"
"19 Mar 25","4.4558"
"18 Mar 25","4.4548"
"17 Mar 25","4.4544"
"14 Mar 25","4.4549"
"13 Mar 25","4.455"
"12 Mar 25","4.4545"
"11 Mar 25","4.4546"
"10 Mar 25","4.4547"
"07 Mar 25","4.4548"
"06 Mar 25","4.4557"
"05 Mar 25","4.455"
"04 Mar 25","4.4551"
"03 Mar 25","4.455"
"28 Feb 25","4.4552"
"27 Feb 25","4.4547"
"26 Feb 25","4.4547"
"25 Feb 25","4.4547"
"24 Feb 25","4.4545"
"21 Feb 25","4.4549"
"20 Feb 25","4.4543"
"19 Feb 25","4.4543"
"18 Feb 25","4.4542"
"17 Feb 25","4.4541"
"14 Feb 25","4.4543"
"13 Feb 25","4.4544"
"12 Feb 25","4.4539"
"11 Feb 25","4.4541"
"10 Feb 25","4.454"
"07 Feb 25","4.454"
"06 Feb 25","4.4544"
"05 Feb 25","4.7045"
"04 Feb 25","4.7049"
"03 Feb 25","4.7042"
"31 Jan 25","4.7037"
"30 Jan 25","4.7008"
"29 Jan 25","4.7006"
"28 Jan 25","4.7"
"27 Jan 25","4.7"
"24 Jan 25","4.7"
"23 Jan 25","4.7001"
"22 Jan 25","4.7"
"21 Jan 25","4.7"
"20 Jan 25","4.7"
"17 Jan 25","4.7"
"16 Jan 25","4.7"
"15 Jan 25","4.7001"
"14 Jan 25","4.7"
"13 Jan 25","4.7"
"10 Jan 25","4.7"
"09 Jan 25","4.7"
"08 Jan 25","4.7"
"07 Jan 25","4.7"
"06 Jan 25","4.7"
"03 Jan 25","4.7"
"02 Jan 25","4.7"
"31 Dec 24","4.7003"
"30 Dec 24","4.7"
"27 Dec 24","4.7"
